timestamp,event,instId,side,price,sz,atr,atr_pct,tp,sl,pnl,pnl_pct,close_reason
2026-07-15 07:27:15,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.614,1.5,0.0285613714585324,0.4318,6.557,6.643,0,0,
2026-07-15 08:22:38,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.28,0.12,0,0,0,0,-0.0324,-0.35,SL
2026-07-15 08:39:11,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.641,1.5,0,0,0,0,-0.0390,-0.39,SL
2026-07-15 08:39:13,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.41,0.12,0.269967536847395,0.3488,77.95,77.14,0,0,
2026-07-15 08:39:13,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.641,1.5,0.0223130748132513,0.3360,6.596,6.663,0,0,
2026-07-15 09:05:06,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.662,1.5,0,0,0,0,-0.0330,-0.33,SL
2026-07-15 12:58:51,CLOSE_BTC,SOL-USDT-SWAP,SHORT,78.2,0.12,0,0,0,0,-0.0300,-0.32,SL
2026-07-15 12:58:54,OPEN_PAIR,SOL-USDT-SWAP,LONG,78.2,0.12,0.304639453069355,0.3896,78.81,77.9,0,0,
2026-07-15 12:58:54,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.746,1.4,0.0253965055409793,0.3765,6.695,6.771,0,0,
2026-07-15 13:07:13,CLOSE_BTC,SOL-USDT-SWAP,LONG,78.86,0.12,0,0,0,0,0.0780,0.83,TP
2026-07-15 13:47:34,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.702,1.4,0,0,0,0,0.0616,0.65,TP
2026-07-15 13:47:37,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.99,0.12,0.425670072655674,0.5458,78.84,77.56,0,0,
2026-07-15 13:47:37,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.701,1.4,0.0288993471474071,0.4313,6.643,6.73,0,0,
2026-07-15 14:45:07,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.91,0.12,0,0,0,0,-0.0096,-0.10,SL
2026-07-15 15:53:34,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.734,1.4,0,0,0,0,-0.0476,-0.51,SL
2026-07-15 16:12:30,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.56,0.12,0,0,0,0,-0.0516,-0.55,SL
2026-07-15 16:12:33,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.58,0.12,0.416978669790022,0.5375,78.41,77.16,0,0,
2026-07-15 16:12:33,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.695,1.4,0.0325322170273311,0.4859,6.63,6.728,0,0,
2026-07-15 16:36:53,CLOSE_BTC,SOL-USDT-SWAP,LONG,77.08,0.12,0,0,0,0,-0.0612,-0.66,SL
2026-07-15 17:47:08,CLOSE_ETH,AVAX-USDT-SWAP,SHORT,6.725,1.4,0,0,0,0,-0.0420,-0.45,SL
2026-07-15 17:47:11,OPEN_PAIR,SOL-USDT-SWAP,LONG,77.98,0.12,0.380399671312657,0.4878,78.74,77.6,0,0,
2026-07-15 17:47:11,OPEN_PAIR,AVAX-USDT-SWAP,SHORT,6.725,1.4,0.0300166344510654,0.4463,6.665,6.755,0,0,
