timestamp,event,instId,side,price,sz,dip_pct,tp,sl,pnl,pnl_pct,reason
2026-07-16 17:11:39,CLOSE,HYPE-USDT-SWAP,LONG,63.148,1,0,0,0,-0.452,-0.71,SL
2026-07-16 17:11:40,OPEN,HYPE-USDT-SWAP,LONG,63.122,1,-6.8337,64.384,62.491,0,0,
2026-07-16 17:13:18,CLOSE,FARTCOIN-USDT-SWAP,LONG,0.1409,70,0,0,0,-0.0980,-0.98,SL
2026-07-16 17:13:19,OPEN,FARTCOIN-USDT-SWAP,LONG,0.1409,70,-6.1292,0.1437,0.1395,0,0,
2026-07-16 17:14:59,CLOSE,CVX-USDT-SWAP,LONG,1.221,8,0,0,0,-0.096,-0.97,SL
2026-07-16 17:15:00,OPEN,CVX-USDT-SWAP,LONG,1.221,8,-6.0046,1.245,1.209,0,0,
2026-07-16 17:15:44,CLOSE,PEPE-USDT-SWAP,LONG,0.000002724,0.3,0,0,0,0.0000,-0.73,SL
2026-07-16 17:17:53,CLOSE,USELESS-USDT-SWAP,LONG,0.06911,14,0,0,0,-0.0112,-1.14,SL
2026-07-16 17:17:54,OPEN,USELESS-USDT-SWAP,LONG,0.06911,14,-14.3512,0.07049,0.06842,0,0,
2026-07-16 17:18:29,CLOSE,BONK-USDT-SWAP,LONG,0.000003476,28,0,0,0,0.0000,-0.63,SL
2026-07-16 17:18:31,OPEN,BONK-USDT-SWAP,LONG,0.000003478,28,-6.4551,0.00000355,0.00000344,0,0,
2026-07-16 17:18:41,CLOSE,FARTCOIN-USDT-SWAP,LONG,0.14,70,0,0,0,-0.070,-0.71,SL
2026-07-16 17:18:43,OPEN,FARTCOIN-USDT-SWAP,LONG,0.14,71,-6.4796,0.1428,0.1386,0,0,
2026-07-16 17:18:51,CLOSE,HOME-USDT-SWAP,LONG,0.01146,8,0,0,0,0.0015,1.69,TP
2026-07-16 17:18:52,OPEN,HOME-USDT-SWAP,LONG,0.01146,8,-19.5225,0.01169,0.01135,0,0,
2026-07-16 17:18:53,CLOSE,HYPE-USDT-SWAP,LONG,62.349,1,0,0,0,-0.816,-1.29,SL
2026-07-16 17:18:54,OPEN,HYPE-USDT-SWAP,LONG,62.349,1,-7.9584,63.596,61.726,0,0,
2026-07-16 17:19:02,CLOSE,LA-USDT-SWAP,LONG,0.05443,18,0,0,0,-0.0072,-0.73,SL
2026-07-16 17:22:23,CLOSE,HOME-USDT-SWAP,LONG,0.0114,8,0,0,0,-0.0006,-0.61,SL
2026-07-16 17:22:24,OPEN,HOME-USDT-SWAP,LONG,0.0114,8,-19.9438,0.01163,0.01129,0,0,
2026-07-16 17:23:15,CLOSE,USELESS-USDT-SWAP,LONG,0.06809,14,0,0,0,-0.0147,-1.52,SL
2026-07-16 17:23:16,OPEN,USELESS-USDT-SWAP,LONG,0.06809,14,-15.2055,0.06945,0.06741,0,0,
