🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 4.59042338054908$ | PnL: -11.38172438 💵 | Сделок: 315 | WinRate: 39.68%
🔄 Новый цикл бота. Баланс: 14.7862525405491$ | PnL: -11.27824922 💵 | Сделок: 316 | WinRate: 39.87%
🔄 Новый цикл бота. Баланс: 5.15308127336908$ | PnL: -11.0079133 💵 | Сделок: 318 | WinRate: 40.25%
🔄 Новый цикл бота. Баланс: 5.19572004214891$ | PnL: -10.95625791 💵 | Сделок: 319 | WinRate: 40.44%
🔄 Новый цикл бота. Баланс: 5.19572004214891$ | PnL: -10.95625791 💵 | Сделок: 319 | WinRate: 40.44%
🔄 Новый цикл бота. Баланс: 5.19572004214891$ | PnL: -10.95625791 💵 | Сделок: 319 | WinRate: 40.44%
🔄 Новый цикл бота. Баланс: 5.19572004214891$ | PnL: -10.95625791 💵 | Сделок: 319 | WinRate: 40.44%
🔄 Новый цикл бота. Баланс: 5.19572004214891$ | PnL: -10.95625791 💵 | Сделок: 319 | WinRate: 40.44%
🔄 Новый цикл бота. Баланс: 5.66252536444891$ | PnL: -10.55049706 💵 | Сделок: 321 | WinRate: 40.81%
🔄 Новый цикл бота. Баланс: 5.98617867765691$ | PnL: -10.20960567 💵 | Сделок: 323 | WinRate: 41.18%
🔄 Новый цикл бота. Баланс: 6.29840522321661$ | PnL: -9.88006836999999 💵 | Сделок: 325 | WinRate: 41.54%
🔄 Новый цикл бота. Баланс: 6.9043919190138$ | PnL: -9.24736477999999 💵 | Сделок: 328 | WinRate: 42.07%
🔄 Новый цикл бота. Баланс: 7.09968374339966$ | PnL: -9.04307282999999 💵 | Сделок: 329 | WinRate: 42.25%
🔄 Новый цикл бота. Баланс: 7.09968374339966$ | PnL: -9.04307282999999 💵 | Сделок: 329 | WinRate: 42.25%
