"Symbol","BestTP","BestSL","Profit","WinRate"
"BONK-USDT-SWAP","0,6","0,6","2,96E-06","56,13"
"LUNA-USDT-SWAP","1,4","1,4","2,8E-06","50"
"SHIB-USDT-SWAP","0,5","1,7","2,18E-06","100"
"PEPE-USDT-SWAP","0,5","0,5","8,1E-07","55"
"LUNC-USDT-SWAP","0,5","0,5","6E-07","52"
"SHIB-USDT-SWAP","2,1","1,7","2,7E-07","100"
"CTC-USDT-SWAP","2,1","2,1","0","0"
"CVC-USDT-SWAP","1,6","1,6","0","0"
"SIGN-USDT-SWAP","1,9","1,9","0","0"
"HMSTR-USDT-SWAP","1,9","1,9","0","0"
"RENDER-USDT-SWAP","2,3","2,3","0","0"
"ATOM-USD-SWAP","1,9","1,9","0","0"
"FLOW-USDT-SWAP","1,9","1,9","0","0"
"XAUT-USDT-SWAP","0,5","0,5","0","0"
"XAUT-USDT-SWAP","0,5","0,5","0","0"
"BNB-USDT-SWAP","1,3","1,3","0","0"
"SUI-USD-SWAP","2,3","2,3","0","0"
"SUI-USDT-SWAP","2,3","2,3","0","0"
"ONDO-USDT-SWAP","2,2","2,2","0","0"
"AGLD-USDT-SWAP","1,8","1,8","0","0"
"A-USDT-SWAP","1,6","1,6","0","0"
"NEO-USDT-SWAP","2","2","0","0"
"ATOM-USDT-SWAP","2","2","0","0"
"TRB-USDT-SWAP","2","2","0","0"
"MINA-USDT-SWAP","1,9","1,9","0","0"
"TRX-USDT-SWAP","1,3","1,3","0","0"
"AUCTION-USDT-SWAP","2,2","2,2","0","0"
"TRX-USD-SWAP","1,3","1,3","0","0"
"BIGTIME-USDT-SWAP","1,9","1,9","0","0"
"VANA-USDT-SWAP","2,1","2,1","0","0"
"ENJ-USDT-SWAP","1,8","1,8","0","0"
"TRUMP-USDT-SWAP","1,9","1,9","0","0"
"SAND-USDT-SWAP","2,1","2,1","0","0"
"PUMP-USDT-SWAP","3","2,9","-0,00010281","33,33"
"JELLYJELLY-USDT-SWAP","1,5","1,5","-0,0004269","44,44"
