timestamp,event,instId,side,price,sz,dip_pct,pnl,pnl_pct,detail
2026-08-10 13:11:57,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004669,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-10 15:22:18,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004617,0.2,-1.0502,0,0,buy=1 fib=1 x0.1usd
2026-08-10 15:30:49,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004619,0.2,-1.0073,0,0,buy=2 fib=1 x0.1usd
2026-08-10 15:39:07,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004613,0.4,-1.1359,0,0,buy=3 fib=2 x0.2usd
2026-08-10 15:43:15,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004619,0.6,-1.0073,0,0,buy=4 fib=3 x0.3usd
2026-08-10 21:13:20,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004521,1.1,-1.8667,0,0,buy=5 fib=5 x0.5usd
2026-08-10 21:13:24,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004533,1.7,-1.6063,0,0,buy=6 fib=8 x0.8usd
2026-08-10 21:14:04,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.00000453,2.8,-1.6714,0,0,buy=7 fib=13 x1.3usd
2026-08-10 21:15:32,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004469,4.6,-2.9954,0,0,buy=8 fib=21 x2.1usd
2026-08-10 21:15:48,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004493,7.5,-2.4745,0,0,buy=9 fib=34 x3.4usd
2026-08-10 21:16:56,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004491,12.2,-2.5179,0,0,buy=10 fib=55 x5.5usd
2026-08-10 23:32:13,CLOSED,SHIB-USDT-SWAP,LONG,0.000004507,8.4,0,-2.2325,-5.57,total_buys=10
