🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 1.37972653540514$ | PnL: -6.50134221 💵 | Сделок: 106 | WinRate: 24.53%
🔄 Новый цикл бота. Баланс: 1.37972653540514$ | PnL: -6.50134221 💵 | Сделок: 106 | WinRate: 24.53%
🔄 Новый цикл бота. Баланс: 1.17786465156714$ | PnL: -6.69420421 💵 | Сделок: 107 | WinRate: 24.3%
🔄 Новый цикл бота. Баланс: 0.853105776300344$ | PnL: -7.00095543 💵 | Сделок: 109 | WinRate: 23.85%
🔄 Новый цикл бота. Баланс: 0.249644859991539$ | PnL: -7.57255036 💵 | Сделок: 113 | WinRate: 23.01%
🔄 Новый цикл бота. Баланс: 0.249644859991539$ | PnL: -7.57255036 💵 | Сделок: 113 | WinRate: 23.01%
🔄 Новый цикл бота. Баланс: 0.249644859991539$ | PnL: -7.57255036 💵 | Сделок: 113 | WinRate: 23.01%
🔄 Новый цикл бота. Баланс: 0.249644859991539$ | PnL: -7.57255036 💵 | Сделок: 113 | WinRate: 23.01%
🔄 Новый цикл бота. Баланс: 0.249644859991539$ | PnL: -7.57255036 💵 | Сделок: 113 | WinRate: 23.01%
🔄 Новый цикл бота. Баланс: 0.249644859991539$ | PnL: -7.57255036 💵 | Сделок: 113 | WinRate: 23.01%
🔄 Новый цикл бота. Баланс: 0.249644859991539$ | PnL: -7.57255036 💵 | Сделок: 113 | WinRate: 23.01%
🔄 Новый цикл бота. Баланс: 0.0498585992786378$ | PnL: -7.76334066 💵 | Сделок: 114 | WinRate: 22.81%
🔄 Новый цикл бота. Баланс: 9.91409942927864$ | PnL: -7.89907615 💵 | Сделок: 115 | WinRate: 22.61%
🔄 Новый цикл бота. Баланс: 9.91409942927864$ | PnL: -7.89907615 💵 | Сделок: 115 | WinRate: 22.61%
🔄 Новый цикл бота. Баланс: 9.91409942927864$ | PnL: -7.89907615 💵 | Сделок: 115 | WinRate: 22.61%
🔄 Новый цикл бота. Баланс: 9.91409942927864$ | PnL: -7.89907615 💵 | Сделок: 115 | WinRate: 22.61%
🔄 Новый цикл бота. Баланс: 9.91409942927864$ | PnL: -7.89907615 💵 | Сделок: 115 | WinRate: 22.61%
🔄 Новый цикл бота. Баланс: 9.91409942927864$ | PnL: -7.89907615 💵 | Сделок: 115 | WinRate: 22.61%
🔄 Новый цикл бота. Баланс: 9.91409942927864$ | PnL: -7.89907615 💵 | Сделок: 115 | WinRate: 22.61%
🔄 Новый цикл бота. Баланс: 9.72049790004264$ | PnL: -8.08368658 💵 | Сделок: 116 | WinRate: 22.41%
