2025-09-01 11:56:12 🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 8.6175348372546$ | PnL: -0.35811495 💵 | Сделок: 16 | WinRate: 37.5%
🔄 Новый цикл бота. Баланс: 9.8840645147683$ | PnL: 0.93517601 💵 | Сделок: 19 | WinRate: 47.37%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
