🔄 2025-09-11 16:50:02 Баланс: 5000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 23:28:25 Баланс: 4047.47649665214$ | PnL: 3.20832448 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-11 23:34:51 Баланс: 4017.44954092395$ | PnL: 3.20832448 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-11 23:41:22 Баланс: 3997.43146073665$ | PnL: 3.20832448 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-11 23:47:51 Баланс: 3997.43146073665$ | PnL: 3.20832448 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-11 23:54:22 Баланс: 3957.82418449195$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:00:57 Баланс: 3957.82418449195$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:07:29 Баланс: 3957.82418449195$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:14:02 Баланс: 3957.82418449195$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:20:34 Баланс: 3957.82418449195$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:27:08 Баланс: 3887.76272241084$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:33:46 Баланс: 3877.75384732316$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:40:25 Баланс: 3877.75384732316$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:47:06 Баланс: 3877.75384732316$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 00:53:46 Баланс: 3877.75384732316$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 01:00:26 Баланс: 3867.74484733316$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 01:07:05 Баланс: 3847.72684520375$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 01:13:46 Баланс: 3817.69986862781$ | PnL: 3.64598288 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-12 01:20:32 Баланс: 3808.18433738934$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 01:27:17 Баланс: 3808.18433738934$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 01:34:03 Баланс: 3788.16635135189$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 01:40:49 Баланс: 3728.11247625063$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 01:47:42 Баланс: 3728.11247625063$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 01:54:34 Баланс: 3728.11247625063$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 02:01:25 Баланс: 3708.0945391672$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 02:08:16 Баланс: 3698.08553903909$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 02:15:09 Баланс: 3648.04051554289$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 02:22:06 Баланс: 3618.01350331189$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 02:29:08 Баланс: 3427.96590206358$ | PnL: 4.14845195 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-12 02:36:27 Баланс: 3418.3925206215$ | PnL: 4.59301238 💵 | Сделок: 8 | WinRate: 100%
🔄 2025-09-12 02:43:42 Баланс: 3398.37452090575$ | PnL: 4.59301238 💵 | Сделок: 8 | WinRate: 100%
🔄 2025-09-12 02:50:57 Баланс: 3389.46466619269$ | PnL: 5.70976633 💵 | Сделок: 10 | WinRate: 100%
